Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
102 /NDhjZTY5PC9HDTsyd189exocZ2V_RysvAQ4paW4Ce3NOGTRpKlJoG1VcamVqBHtiThoyIDRZczMfHXQjKRs-KEdMCgMYRjl5WVNoZH9lGQUbAmdlaQ1-Yg4YNTkeWiEjBA9nZH9TIjccCy49PQh9Yjg9Gws4USwgVVt8BA50EScENSkgKwgDBSsLNyQ4XCkqTVgZZWgMfXFZNWhhbQJ7cFk1CjU3UCIUGg83PSxYETcPPQoLFHAWG1hbf2YaBH5wXlNjC2sAeHVaXgUXOFkiCw49OyYGViwrEDkqMTpfLygGEwVkaBB8B1lbYmRrBhF2XV5jZGkBEQcHBCw7MlARFy81LSQ7WjZpHwM7MDZYITcLAwVkaxB8B1lbYmVoARF2XVlrYWlqCysKHy09PGoZFCoFIgsKRSE2HAUtMR9UJTARNWpmfAcNdVhTYm1qanxxWFtsZQZxCxcjPhUEBnknIAQ1CRMGQj4bCgUiMjBbLyobDwVlbxh_fDcrHhYVEHwHWVtjbGoEEXZdXmNkaQIRCQcYMy42WxEnChkqOytBESUMCDY7Ol4RByo5ChsLYRF0Wk9oF2gEd3xYXwVmbAF2fVxZBRcbbRECAQQ7OipQEQgJBD4LC1o4IRo1HBIGRjolHAM5C2kEa3YrW2ttawd_G1pfbmNoBXwbGw0FIylqHCUBBDg7LmoNBjcHMywGBX9hWilrZWAGenQ3WG9gbgF9fDcZPQswQS8vCTU3PSFqfnVNWBllaAx9cVk1aGFtAntxXjUZFgFqHTARBgUZPFEnJTcvIiQ8RzobLiwFJy1UOi0LNWpmfAcNdVlSY2VtanxxXFxqZWFqDCsGGig9IWoMKxA1KDstVC09AgQjCx5CJyUSDiNxa3Z_dVFdamYGB3twUF1qYQZ8IzQaDyk-PAd6GzstBTY2TWM2Bx47NyBfID03Wmtxa3Z_dVFeb2wGB3twX1JvbQZyIisKCzZlaWosKxAtLT04Tyo9N1prcWt2f3VRWWNgBgd7cF9caGAGRikbISQOBhxxARsKBSILK1o6JQsTMDogan51TVgZZWgNd3VcNWhhbQN-dVE1GDs3RTwtEDUYOyFqPCscCzktM1s3GyUFLjt8Bw11WVJsY2BqfHFcX2hsb2oGKwUPODs2XhEGBxIXOy1aa3YrW2tsbwJ3G1pfbmFrDXkbIAU3MTtaIS83KDUsCkE3KDITOT04EHwHWVtiYWsEEXZdXm5saAERAAcHNTAwagwrEDUoOy1ULT0CBCMLCkE3KDITOT04EHwHWVtibWgBEXZdXmxkaAYRBgcEKiYwTREBCyY7Jj5Qa3YrW2tsbwJ3G1pfbmFrDXobIAU3MTtaIS83LzkYOEcpIU1YGWVoDXt2WTVoYW0BdnReNR47NFoqLTcvORg4RykhTVgZZWgMfXNZNWhhbQJ7cFs1FzsrXDQrBjUfNxVUPCMNT2gXaAV3c1tdBWZtDHl0WzUbJy1HLzANEgUROnchPCULIgsfcxF0WU9oF2gEdn1ZXwVmbAF4dFxeBQ44WS8qDAUFHTJaICU3MDs4OFsqKzc5HQsOZRF0WU9oF2gEdn1ZXwVmbAF4dF1eBQ44WS8qDAUFFjxZJSU3OR0LDmURdFlPaBdoBHZ9WV4FZmwBeHRaXAUWNls-NgESBRI1Wi8wAQQ9CzFUIiIYCz0xBmYJGz86f2YaBH98XVhrC2sAenBQW2wLHVojKwwDBRgwWyUbHBIuCw5cLyAHBzUnOlwRFy81DQR8Bw11WVNubGFqfHFcXWNsYWo9IzcFMTo2RSIlGx4FMjVaLzA3WmtyOFE4FwQFLidkBXtyTVgZZGwCaDcYAzRpNU15KgxfPSN_Vy0yVVg=,1,168,168,168,"0,00","0,000%","5,95238","5,41","21,15","930,0"
websocket.wp.pl:443,6,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
104 /success.txt,1,19,19,19,"0,00","0,000%","52,63158","19,74","15,78","384,0"
105 /success.txt,1,20,20,20,"0,00","0,000%","50,00000","18,75","14,99","384,0"
syndication.twitter.com:443,3,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1269,0"
106 /success.txt,1,20,20,20,"0,00","0,000%","50,00000","18,75","14,99","384,0"
107 /success.txt,1,19,19,19,"0,00","0,000%","52,63158","19,74","15,78","384,0"
108 /success.txt,1,19,19,19,"0,00","0,000%","52,63158","19,74","15,78","384,0"
109 /success.txt,1,19,19,19,"0,00","0,000%","52,63158","19,74","15,78","384,0"
110 /success.txt,1,19,19,19,"0,00","0,000%","52,63158","19,74","15,78","384,0"
111 /success.txt,1,20,20,20,"0,00","0,000%","50,00000","18,75","14,99","384,0"
112 /success.txt,1,20,20,20,"0,00","0,000%","50,00000","18,75","14,99","384,0"
113 /success.txt,1,19,19,19,"0,00","0,000%","52,63158","19,74","15,78","384,0"
